pitch,time_start,duration,beat_type,string,position,finger
71,266,60,16th,N/A,N/A,N/A
74,293,60,16th,N/A,N/A,N/A
77,320,60,16th,N/A,N/A,N/A
81,346,120,16th,N/A,N/A,N/A
83,373,120,16th,N/A,N/A,N/A
86,399,180,16th,N/A,N/A,N/A
89,426,30,16th,N/A,N/A,N/A
93,453,30,16th,N/A,N/A,N/A
92,0,120,8th,N/A,N/A,N/A
88,79,40,16th,N/A,N/A,N/A
92,120,40,16th,N/A,N/A,N/A
83,160,40,16th,N/A,N/A,N/A
88,199,40,16th,N/A,N/A,N/A
84,240,40,16th,N/A,N/A,N/A
88,279,40,16th,N/A,N/A,N/A
81,320,40,16th,N/A,N/A,N/A
84,360,40,16th,N/A,N/A,N/A
76,399,40,16th,N/A,N/A,N/A
81,440,180,16th,N/A,N/A,N/A
80,0,30,16th,N/A,N/A,N/A
83,40,30,16th,N/A,N/A,N/A
76,79,120,16th,N/A,N/A,N/A
80,120,40,16th,N/A,N/A,N/A
71,160,40,16th,N/A,N/A,N/A
76,199,40,16th,N/A,N/A,N/A
75,240,40,16th,N/A,N/A,N/A
